full_moon_date,moontype
1550-01-03,Full Moon
1550-02-01,Full Moon
1550-03-03,Full Moon
1550-04-01,Full Moon
1550-04-30,Full Moon
1550-05-30,Full Moon
1550-06-28,Full Moon
1550-07-28,Full Moon
1550-08-27,Full Moon
1550-09-25,Full Moon
1550-10-25,Full Moon
1550-11-24,Full Moon
1550-12-23,Full Moon
1551-01-22,Full Moon
1551-02-20,Full Moon
1551-03-22,Full Moon
1551-04-20,Full Moon
1551-05-19,Full Moon
1551-06-18,Full Moon
1551-07-17,Full Moon
1551-08-16,Full Moon
1551-09-14,Full Moon
1551-10-14,Full Moon
1551-11-13,Full Moon
1551-12-13,Full Moon
1552-01-11,Full Moon
1552-02-10,Full Moon
1552-03-10,Full Moon
1552-04-09,Full Moon
1552-05-08,Full Moon
1552-06-06,Full Moon
1552-07-06,Full Moon
1552-08-04,Full Moon
1552-09-03,Full Moon
1552-10-02,Full Moon
1552-11-01,Full Moon
1552-12-01,Full Moon
1552-12-31,Full Moon
1553-01-29,Full Moon
1553-02-28,Full Moon
1553-03-29,Full Moon
1553-04-28,Full Moon
1553-05-27,Full Moon
1553-06-25,Full Moon
1553-07-25,Full Moon
1553-08-23,Full Moon
1553-09-21,Full Moon
1553-10-21,Full Moon
1553-11-20,Full Moon
1553-12-19,Full Moon
1554-01-18,Full Moon
1554-02-17,Full Moon
1554-03-19,Full Moon
1554-04-17,Full Moon
1554-05-17,Full Moon
1554-06-15,Full Moon
1554-07-14,Full Moon
1554-08-13,Full Moon
1554-09-11,Full Moon
1554-10-10,Full Moon
1554-11-09,Full Moon
1554-12-09,Full Moon
1555-01-07,Full Moon
1555-02-06,Full Moon
1555-03-08,Full Moon
1555-04-07,Full Moon
1555-05-06,Full Moon
1555-06-05,Full Moon
1555-07-04,Full Moon
1555-08-02,Full Moon
1555-09-01,Full Moon
1555-09-30,Full Moon
1555-10-29,Full Moon
1555-11-28,Full Moon
1555-12-28,Full Moon
1556-01-26,Full Moon
1556-02-25,Full Moon
1556-03-26,Full Moon
1556-04-24,Full Moon
1556-05-24,Full Moon
1556-06-22,Full Moon
1556-07-22,Full Moon
1556-08-20,Full Moon
1556-09-19,Full Moon
1556-10-18,Full Moon
1556-11-17,Full Moon
1556-12-16,Full Moon
1557-01-15,Full Moon
1557-02-13,Full Moon
1557-03-15,Full Moon
1557-04-13,Full Moon
1557-05-13,Full Moon
1557-06-12,Full Moon
1557-07-11,Full Moon
1557-08-10,Full Moon
1557-09-08,Full Moon
1557-10-08,Full Moon
1557-11-06,Full Moon
1557-12-06,Full Moon
1558-01-04,Full Moon
1558-02-03,Full Moon
1558-03-04,Full Moon
1558-04-02,Full Moon
1558-05-02,Full Moon
1558-06-01,Full Moon
1558-06-30,Full Moon
1558-07-30,Full Moon
1558-08-28,Full Moon
1558-09-27,Full Moon
1558-10-27,Full Moon
1558-11-25,Full Moon
1558-12-25,Full Moon
1559-01-23,Full Moon
1559-02-22,Full Moon
1559-03-23,Full Moon
1559-04-21,Full Moon
1559-05-21,Full Moon
