visibility,altitude,date,TDB,eclipse_type
visible,45.06059701906474,1550-03-03,2287256.646909069,Penumbral
not_visible,-26.531746839616257,1550-04-01,2287286.037943032,Penumbral
visible,42.7744739125709,1550-08-27,2287433.7162772464,Penumbral
not_visible,-31.804473798638757,1551-02-20,2287611.3216423853,Total
visible,35.64639529224738,1551-08-16,2287787.756819866,Partial
visible,20.71840268501893,1552-02-10,2287965.91578471,Total
not_visible,-36.59751253545145,1552-08-04,2288142.0573592223,Total
not_visible,-33.03115563383058,1553-01-29,2288320.2526492802,Penumbral
not_visible,-43.15370731834634,1553-06-25,2288467.3535527317,Penumbral
visible,25.4350996251293,1553-07-25,2288496.6417828384,Partial
visible,22.061258134215304,1553-12-19,2288644.4925607494,Penumbral
not_visible,-42.929514894952995,1554-06-15,2288822.061073773,Partial
visible,43.57758841380702,1554-12-09,2288998.5655617947,Partial
visible,16.983510822565346,1555-06-05,2289176.6075445465,Total
visible,16.67889989766856,1555-11-28,2289352.94084021,Total
visible,7.283198001449076,1556-05-24,2289530.8583613513,Partial
visible,39.734851248835476,1556-11-17,2289707.5464323624,Partial
not_visible,-56.89379863589626,1557-04-13,2289855.2598311543,Penumbral
visible,0.5504408146705733,1557-05-13,2289884.890982235,Penumbral
visible,54.397183972887085,1557-10-08,2290032.741618979,Penumbral
not_visible,-29.88656195210463,1557-11-06,2290062.1978896894,Penumbral
visible,2.0310437737147735,1558-04-02,2290209.489686397,Partial
not_visible,-38.03765853982908,1558-09-27,2290387.1201996906,Partial
not_visible,-17.633948443643888,1559-03-23,2290564.009221374,Total
not_visible,-48.54772200273778,1559-09-16,2290741.2090159925,Total
visible,46.31264128523176,1560-03-12,2290918.685017823,Partial
not_visible,-52.21264827393332,1560-09-04,2291095.2144376477,Partial
visible,47.20593909108769,1561-01-31,2291243.8271043305,Penumbral
not_visible,-25.346171658138392,1561-07-26,2291420.00957647,Penumbral
not_visible,-14.611068627336257,1562-01-20,2291598.071975121,Total
visible,25.0523479471741,1562-07-16,2291774.6502049174,Total
not_visible,-11.20535331579815,1563-01-09,2291952.061412172,Total
not_visible,-39.988533452944395,1563-07-05,2292129.365563023,Total
not_visible,-15.243799020722083,1563-12-29,2292306.083222979,Partial
visible,0.9251544574845725,1564-05-26,2292454.5257415953,Penumbral
not_visible,-15.321075073888144,1564-06-24,2292483.960486237,Penumbral
visible,33.288983407298666,1564-11-18,2292630.876056762,Penumbral
not_visible,-4.646426485958714,1564-12-17,2292660.3865095363,Penumbral
visible,26.894599273538233,1565-05-15,2292808.695299425,Partial
visible,30.534836866021198,1565-11-08,2292985.5165158557,Partial
visible,30.003438283209324,1566-05-04,2293162.7131399596,Total
not_visible,-31.791600863445293,1566-10-28,2293340.148658064,Total
visible,6.804031008775954,1567-04-23,2293516.888041669,Partial
visible,43.279120861679814,1567-10-18,2293694.5826439047,Partial
not_visible,-10.113092285261247,1568-03-13,2293841.989183522,Penumbral
not_visible,-33.89868221734964,1568-04-11,2293871.360422545,Penumbral
not_visible,-16.325649998460207,1568-09-06,2294019.0059219976,Penumbral
visible,48.771240755300425,1569-03-03,2294196.6709071626,Total
not_visible,-30.414672639016647,1569-08-26,2294373.0502185044,Partial
not_visible,-40.319849601703545,1570-02-20,2294551.2614367227,Total
not_visible,-33.48571774481599,1570-08-15,2294727.364258687,Total
visible,39.022999054568075,1571-02-10,2294905.5865315837,Penumbral
visible,26.677675067811958,1571-07-07,2295052.665391522,Penumbral
not_visible,-10.2202675480355,1571-08-05,2295081.95810936,Partial
visible,49.342464091660766,1571-12-31,2295229.827421511,Penumbral
not_visible,-39.652462184381584,1572-06-25,2295407.36779448,Partial
visible,25.84982799138664,1572-12-19,2295583.9139516065,Partial
not_visible,-1.1653655603768411,1573-06-15,2295761.8985911245,Total
not_visible,-18.82391607080357,1573-12-08,2295938.302947237,Total
not_visible,-62.30557660346908,1574-06-04,2296116.13138174,Partial
visible,24.197379229038212,1574-11-28,2296292.91367629,Partial
visible,12.136442084217165,1575-04-25,2296440.545910182,Penumbral
not_visible,-68.73641076187762,1575-05-24,2296470.160803821,Penumbral
