visibility,altitude,date,TDB,eclipse_type
visible,35.64639529224738,1551-08-16,2287787.756819866,Partial
visible,20.71840268501893,1552-02-10,2287965.91578471,Total
visible,25.4350996251293,1553-07-25,2288496.6417828384,Partial
visible,43.57758841380702,1554-12-09,2288998.5655617947,Partial
visible,16.983510822565346,1555-06-05,2289176.6075445465,Total
visible,16.67889989766856,1555-11-28,2289352.94084021,Total
visible,7.283198001449076,1556-05-24,2289530.8583613513,Partial
visible,39.734851248835476,1556-11-17,2289707.5464323624,Partial
visible,2.0310437737147735,1558-04-02,2290209.489686397,Partial
visible,46.31264128523176,1560-03-12,2290918.685017823,Partial
visible,25.0523479471741,1562-07-16,2291774.6502049174,Total
visible,26.894599273538233,1565-05-15,2292808.695299425,Partial
visible,30.534836866021198,1565-11-08,2292985.5165158557,Partial
visible,30.003438283209324,1566-05-04,2293162.7131399596,Total
visible,6.804031008775954,1567-04-23,2293516.888041669,Partial
visible,43.279120861679814,1567-10-18,2293694.5826439047,Partial
visible,48.771240755300425,1569-03-03,2294196.6709071626,Total
visible,25.84982799138664,1572-12-19,2295583.9139516065,Partial
visible,24.197379229038212,1574-11-28,2296292.91367629,Partial
visible,27.97614894069985,1576-04-13,2296794.799474192,Partial
visible,3.2112140760073156,1576-10-07,2296972.441079804,Partial
visible,19.718254022502116,1577-09-27,2297326.5111737056,Total
visible,17.72336787900725,1578-09-16,2297680.514883061,Partial
visible,28.069471495317785,1581-07-16,2298714.675849453,Total
visible,2.0225690952705615,1582-01-08,2298891.4265417494,Partial
visible,31.535082901322358,1583-11-29,2299570.8811536985,Partial
visible,26.475480057670023,1584-11-18,2299925.5030785585,Total
visible,16.887375656285915,1585-11-07,2300279.917890403,Partial
visible,36.46583941979882,1588-03-13,2301136.599693857,Total
visible,40.61876324485774,1588-09-05,2301312.677743921,Total
visible,26.72526544802345,1590-07-17,2301992.673536729,Partial
visible,68.13773673223868,1591-12-30,2302523.667048813,Total
visible,54.009094503372836,1594-10-29,2303557.766457057,Partial
visible,33.965844322470836,1595-04-24,2303734.6643789327,Total
visible,39.43566999783955,1595-10-18,2303911.8194938176,Total
visible,36.07770162563846,1596-10-06,2304265.823005599,Partial
visible,59.42557497990125,1598-02-21,2304768.7329375707,Partial
visible,63.1841946440663,1599-02-10,2305122.7184419776,Total
visible,60.92863928110152,1600-01-30,2305476.7676683995,Partial
visible,36.65200082629814,1602-11-29,2306510.8613940636,Total
visible,48.34701748435812,1605-09-27,2307543.656951848,Partial
visible,6.075249374342735,1606-03-24,2307721.932832909,Total
visible,30.026014218226685,1607-09-06,2308252.6032471405,Partial
visible,51.19593576872624,1609-01-20,2308754.610862947,Partial
visible,23.9986764842743,1610-07-06,2309286.6722385753,Partial
visible,65.81334641744397,1610-12-30,2309463.652689508,Partial
visible,34.62477163512206,1614-04-24,2310674.6866459087,Partial
visible,27.586213730424895,1616-08-27,2311530.6054127375,Total
visible,58.13691940057973,1619-12-21,2312741.617664324,Partial
visible,3.129091046638381,1620-06-15,2312918.5352682127,Total
visible,22.515187307467926,1621-06-04,2313272.772715907,Partial
visible,53.03927535372311,1621-11-29,2313450.5993063697,Partial
visible,37.76128734997514,1623-04-15,2313952.6829972127,Partial
visible,22.131036279123784,1625-03-24,2314661.5496141124,Partial
visible,2.251402663577455,1625-09-16,2314837.9334978596,Partial
visible,12.206559049882385,1627-01-31,2315339.9578227066,Partial
visible,26.87941887299202,1627-07-28,2315517.7650227803,Total
visible,28.013780774901846,1630-05-26,2316550.7092590253,Partial
visible,7.208213918833731,1630-11-19,2316728.431182803,Partial
visible,11.891324063533641,1631-11-08,2317082.452494974,Total
visible,11.913221630357308,1632-10-27,2317436.4586786944,Partial
visible,1.1370668589966286,1634-09-07,2318115.931806078,Partial
visible,31.061043009905365,1635-08-28,2318470.620124897,Total
visible,6.961738015241389,1637-12-31,2319326.987768357,Partial
visible,16.75045341062079,1638-06-26,2319503.8067738726,Total
visible,48.86463363037292,1638-12-21,2319681.5837641037,Total
visible,15.302896243481307,1639-12-10,2320035.9443092146,Partial
visible,23.20942237037748,1642-04-15,2320892.5779800997,Total
visible,51.81847070295921,1642-10-08,2321068.654374311,Total
visible,22.62031725578697,1643-04-04,2321246.8566264776,Partial
visible,63.40225891056013,1646-01-31,2322279.75489403,Total
visible,60.85799781050658,1648-11-30,2323313.7685273406,Partial
visible,20.769609943339674,1649-05-26,2323490.6170653435,Total
visible,57.05084579243832,1649-11-19,2323667.776997262,Total
visible,52.59378044020572,1650-11-08,2324021.7863797843,Partial
visible,45.750789637870746,1652-03-25,2324524.678803019,Partial
visible,48.51350161744229,1653-03-14,2324878.6697830237,Total
visible,49.971964304681755,1654-03-03,2325232.7718461277,Partial
visible,17.388687930845776,1656-12-31,2326266.9451466966,Total
visible,54.325808077357145,1659-10-30,2327299.62001556,Partial
visible,6.98350952957801,1660-04-25,2327477.890270487,Total
visible,44.01755123158917,1661-10-08,2328008.610435497,Partial
visible,50.42116825181266,1663-02-22,2328510.6413461175,Partial
visible,63.57685808909758,1665-01-31,2329219.7571684946,Partial
visible,23.58416994499551,1668-05-26,2330430.644967858,Partial
visible,38.717893714823745,1670-09-29,2331286.6006149943,Partial
visible,40.67506477232611,1672-09-07,2331995.7523674495,Partial
visible,68.82752479803854,1674-01-22,2332497.7249375596,Partial
visible,23.127447061171594,1675-07-07,2333028.6501081632,Total
visible,60.94139780282642,1676-01-01,2333206.6363000446,Partial
visible,25.519446660810654,1677-05-17,2333708.647876707,Partial
visible,8.305642796915869,1677-11-09,2333884.953220469,Partial
visible,2.0244426951256265,1679-10-19,2334593.9575457866,Partial
visible,35.58269518721529,1681-08-29,2335273.6430077613,Partial
visible,6.151756187146151,1682-02-21,2335450.467479497,Total
visible,32.41588741811046,1682-08-18,2335627.7619210263,Total
visible,26.12263524800384,1683-08-07,2335981.783938822,Partial
visible,17.129131161702077,1684-06-27,2336306.604282325,Partial
visible,12.21015063109119,1684-12-21,2336484.449566978,Partial
visible,10.183932269278145,1685-12-10,2336838.4370471146,Total
visible,16.177430240798916,1686-11-29,2337192.458161711,Partial
visible,4.364943481387306,1688-10-09,2337871.94255075,Partial
visible,39.045758262343426,1689-09-29,2338226.598063031,Total
visible,23.745841225109654,1692-07-28,2339259.632552522,Partial
visible,63.52148504863274,1693-01-22,2339437.6656633127,Total
visible,7.407802855148775,1694-01-11,2339791.9812840736,Partial
visible,4.771906373192994,1694-07-07,2339968.53845824,Partial
visible,65.98022855428458,1696-11-09,2340824.687717584,Total
visible,31.275245550963074,1697-05-06,2341002.7381019183,Partial
visible,41.23562194135897,1700-03-05,2342035.8176568737,Total
visible,9.500424139142051,1701-02-22,2342390.479105754,Partial
visible,58.811965619847555,1703-01-03,2343069.7903361144,Partial
visible,6.428679382330688,1703-06-29,2343246.5505213086,Total
visible,63.409290389815254,1703-12-23,2343423.7707412536,Total
visible,55.32120692938251,1704-12-11,2343777.799636466,Partial
visible,17.54752622263036,1706-04-28,2344280.563693652,Partial
visible,21.066251623862676,1707-04-17,2344634.5691529405,Total
visible,6.94628032876761,1707-10-11,2344811.9339963305,Total
visible,40.980953353944216,1708-04-05,2344988.734533507,Partial
visible,3.8515272893449066,1710-02-13,2345668.4515507156,Partial
visible,0.3851905284289092,1710-08-09,2345844.9137392626,Partial
visible,12.34266367612531,1712-07-18,2346553.8484530146,Partial
